"Submission Date","Username","Level","Total XP","Collector Badge","Jogger Badge","Team","XP Screenshot","Collector Badge Screenshot","Jogger Badge Screenshot",""
"2016-11-19 14:05:55","Arasarn","33","3914231","11729","939.4","Valor","[IMG_0987.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/91d145fIMG_0987.PNG","[IMG_0985.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/90840acIMG_0985.PNG","[IMG_0986.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/9045c62IMG_0986.PNG",""
"2016-11-19 14:05:50","svCruz","35","6707453","20818","1281.3","Instinct","[image.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/8cd52e0image.jpg","[image.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/8cdcf34image.jpg","[image.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/8cb9074image.jpg",""
"2016-11-19 14:05:46","Exdeath86","32","3283955","9184","934.6","Mystic","","","",""
"2016-11-19 14:05:46","OrShiro","16","124750","423","49.2","Mystic","[Screenshot_20161119-140234.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/892c431Screenshot_20161119-140234.png","[Screenshot_20161119-140258.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/88df491Screenshot_20161119-140258.png","[Screenshot_20161119-140246.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/882353fScreenshot_20161119-140246.png",""
"2016-11-19 14:05:37","Hbat10","24","68350","2280","192.4","Mystic","[IMG_7954.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7fc1e92IMG_7954.PNG","[IMG_7955.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7b2aec6IMG_7955.PNG","[IMG_7956.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7b12407IMG_7956.PNG",""
"2016-11-19 14:05:30","nenyy07","23","451805","1533","99.5","Instinct","[Screenshot_20161119-140102.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/788403fScreenshot_20161119-140102.png","[Screenshot_20161119-140021.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/73647eeScreenshot_20161119-140021.png","[Screenshot_20161119-140040.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/727ce80Screenshot_20161119-140040.png",""
"2016-11-19 14:04:26","Vandermear","27","1312327","3779","392.6","Mystic","[Capture+_2016-11-19-14-01-33.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1683b7aCapture%2B_2016-11-19-14-01-33.png","[Capture+_2016-11-19-14-01-44.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/29c21f5Capture%2B_2016-11-19-14-01-44.png","[Capture+_2016-11-19-14-01-56.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/356d5d4Capture%2B_2016-11-19-14-01-56.png",""
"2016-11-19 14:04:22","Azuragami","26","973199","3005","239","Instinct","[Screenshot_2016-11-19-14-00-10.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2c5b227Screenshot_2016-11-19-14-00-10.png","[Screenshot_2016-11-19-14-00-16.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/12e1d02Screenshot_2016-11-19-14-00-16.png","[Screenshot_2016-11-19-14-00-29.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/fe81d38Screenshot_2016-11-19-14-00-29.png",""
"2016-11-19 14:04:17","undgbggngh","21","318375","753","47.2","Instinct","[IMG_0152.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2e1e1e0IMG_0152.png","[IMG_0153.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2e043cbIMG_0153.png","[IMG_0154.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2e20027IMG_0154.png",""
"2016-11-19 14:04:00","xXMadGhostXx","21","48482","1121","124.5","Mystic","","","",""
"2016-11-19 14:03:56","EmilieAndJakob","25","162669","2490","286.1","Valor","[IMG_1951.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1bb4f99IMG_1951.PNG","[IMG_1949.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1883ccdIMG_1949.PNG","[IMG_1950.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1837eb3IMG_1950.PNG",""
"2016-11-19 14:03:52","JakeDude23","14","3295","322","9.0","Valor","[IMG_0019.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/173bb8eIMG_0019.PNG","[IMG_0017.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1704605IMG_0017.PNG","[IMG_0018.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/16f1f28IMG_0018.PNG",""
"2016-11-19 14:03:08","Shaydekitty","28","1420230","3807","474.4","Instinct","[Screenshot_20161119-140014.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/eaa204dScreenshot_20161119-140014.png","[Screenshot_20161119-140036.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/e8eb31cScreenshot_20161119-140036.png","[Screenshot_20161119-140042.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/e903ce3Screenshot_20161119-140042.png",""
"2016-11-19 14:02:50","Infinitrize","32","3187690","9257","840.6","Instinct","[Screenshot_2016-11-19-13-59-08.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b03af3eScreenshot_2016-11-19-13-59-08.png","[Screenshot_2016-11-19-13-59-20.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/bc41b92Screenshot_2016-11-19-13-59-20.png","[Screenshot_2016-11-19-13-59-51.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/c6e8cccScreenshot_2016-11-19-13-59-51.png",""
"2016-11-19 14:02:41","pathos41","35","6361565","17823","1059.0","Mystic","","","",""
"2016-11-19 14:02:39","Bits1957","32","3384940","9052","586.4","Instinct","","","",""
